release_agency,species,run,brood_year,release_year,first_release_date,last_release_date,mean_release_date,release_stage,rearing_type,avg_weight,avg_length,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,total_release
MIT,chinook,1,2015,2016,5/17/2016,5/20/2016,139.5,G,H,5.83,80.5643239,WHITE R      10.0031,WHITE RIVER HATCHERY,WHITE R      10.0031,WA,MPS,PUYA,352107
WDFW,chinook,3,1952,1953,3/5/1953,3/5/1953,64,F,H,0.47,35.48516309,COVINGTON CR 09.0083,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,109494
WDFW,chinook,3,1952,1953,3/10/1953,3/10/1953,69,F,H,0.47,35.48516309,JENKINS CR   09.0087,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,139830
WDFW,chinook,3,1952,1953,3/10/1953,3/10/1953,69,F,H,0.47,35.48516309,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,103095
SUQ,chinook,3,2007,2008,5/15/2008,5/15/2008,136,G,H,5.47,78.90944996,GROVERS CR HATCHERY,GROVERS CR HATCHERY,GROVERS CR   15.0299,WA,MPS,EKPN,201830
SKOK,chinook,1,2014,2016,4/15/2016,5/10/2016,118.5,S,H,41.24,152.3391884,NF SKOKOMISH DAM #2 POOL,NF SKOKOMISH HATCHERY,SKAGIT R     03.0176,WA,HOOD,SKDO,62838
SUQ,chinook,3,2001,2003,3/7/2003,3/25/2003,75,S,H,82.47,190.9052775,GORST CR     15.0216,GORST CR REARING PND,GROVERS CR   15.0299,WA,MPS,EKPN,6500
WDFW,chinook,3,1952,1953,3/27/1953,3/27/1953,86,F,H,0.48,35.72926937,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,105108
SUQ,chinook,3,2007,2008,5/15/2008,5/15/2008,136,G,H,5.47,78.90944996,GROVERS CR HATCHERY,GROVERS CR HATCHERY,GROVERS CR   15.0299,WA,MPS,EKPN,201742
WDFW,chinook,3,1952,1953,4/9/1953,4/9/1953,99,G,H,1.08,46.52691024,GREEN R      09.0001,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,76128
WDFW,chinook,3,1952,1953,4/15/1953,4/15/1953,105,G,H,1.22,48.41072864,ELWHA R      18.0272,BINGHAM CR HATCHERY,SPRING CR    29.0159,WA,JUAN,ELDU,50120
WDFW,chinook,3,1952,1953,4/16/1953,4/16/1953,106,G,H,0.94,44.47031947,SAMISH R     03.0005,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,58425
SUQ,chinook,3,2001,2003,3/7/2003,3/25/2003,75,S,H,82.47,190.9052775,GORST CR     15.0216,GORST CR REARING PND,GROVERS CR   15.0299,WA,MPS,EKPN,6500
COOP,chinook,1,2002,2003,5/28/2003,5/28/2003,148,G,H,5.34,78.29382228,CLEARWATER R RRNG PD,CLEARWATER R RRNG PD,WHITE R      10.0031,WA,MPS,PUYA,199000
WDFW,chinook,3,1952,1953,4/23/1953,4/23/1953,113,G,H,2.9,64.17852569,DESCHUTES R  13.0028,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,SPS,DES,54444
MIT,chinook,3,2002,2003,3/20/2003,3/20/2003,79,G,H,2.61,62.0140178,GREEN R -NF  09.0183,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,139812
WDFW,chinook,3,1952,1953,4/23/1953,4/23/1953,113,G,H,2.9,64.17852569,DESCHUTES R  13.0028,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,SPS,DES,64896
MIT,chinook,3,2002,2003,3/24/2003,3/24/2003,83,G,H,2.48,60.99083685,SMAY CR -WF  09.0237,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,131394
WDFW,chinook,3,1952,1953,4/27/1953,4/27/1953,117,G,H,1.36,50.15386342,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,KALAMA R     27.0002,WA,MPS,LAKW,59400
WDFW,chinook,3,1952,1953,4/28/1953,4/28/1953,118,G,H,1.5,51.7798252,CEDAR R      08.0299,ISSAQUAH HATCHERY,KALAMA R     27.0002,WA,MPS,LAKW,73500
COOP,chinook,3,1993,1995,1/7/1995,1/7/1995,7,Y,H,28.34,134.8220422,HOOD CANAL MARINA NP,HOOD CANAL MARINA NP,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,860
WDFW,chinook,3,1952,1953,5/2/1953,5/2/1953,122,G,H,2.03,57.14121911,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,KALAMA R     27.0002,WA,MPS,LAKW,96102
WDFW,chinook,3,1952,1953,5/4/1953,5/4/1953,124,G,H,1.62,53.09385405,ELWHA R      18.0272,BINGHAM CR HATCHERY,SPRING CR    29.0159,WA,JUAN,ELDU,3166
SUQ,chinook,3,2002,2003,5/3/2003,5/7/2003,125,G,H,3.91,70.73741459,DOGFISH CR   15.0285,WEBSTER'S HATCHERY,GROVERS CR   15.0299,WA,MPS,EKPN,163295
WDFW,chinook,3,1952,1953,5/5/1953,5/5/1953,125,G,H,2.26,59.17356712,GREEN R      09.0001,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,50800
WDFW,chinook,3,2002,2003,5/12/2003,5/12/2003,132,,H,6.29,73,MINTER CR    15.0048,MINTER CR HATCHERY,MINTER CR    15.0048,WA,SPS,EKPS,626126
WDFW,chinook,3,1952,1953,5/5/1953,5/5/1953,125,G,H,2.1,57.7755102,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,52460
WDFW,chinook,3,1994,1995,4/13/1995,4/13/1995,103,,H,3.41,67.65496314,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,81000
WDFW,chinook,3,1952,1953,5/6/1953,5/6/1953,126,G,H,1.14,47.35330412,SAMISH R     03.0005,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,42660
WDFW,chinook,3,1952,1953,5/6/1953,5/6/1953,126,G,H,1.17,47.75553199,SAMISH R     03.0005,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,28875
WDFW,chinook,1,1952,1953,5/6/1953,5/6/1953,126,G,H,1.95,56.39798567,CLARK CR     03.1421,MARBLEMOUNT HATCHERY,SKAGIT R     03.0176,WA,NPS,UPSK,86257
WDFW,chinook,3,2010,2011,5/12/2011,5/12/2011,132,,H,8.24,90.17185775,CHAMBERS CR  12.0007,CHAMBERS CR HATCHERY,CHAMBERS CR  12.0007,WA,SPS,CHAM,102400
WDFW,chinook,3,1952,1953,5/7/1953,5/7/1953,127,G,H,1.61,52.98691026,SAMISH R     03.0005,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,52920
WDFW,chinook,1,1952,1953,5/7/1953,5/7/1953,127,G,H,2.23,58.91663716,CLARK CR     03.1421,MARBLEMOUNT HATCHERY,SKAGIT R     03.0176,WA,NPS,UPSK,52150
SUQ,chinook,3,2002,2003,5/28/2003,5/28/2003,148,G,H,5.6,79.51528831,CLEAR CR     15.0249,CLEAR CR HATCHERY-15,GROVERS CR   15.0299,WA,MPS,EKPN,52132
